epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8622,0,414.321,0,0,0,0,0,0,0.00255,0,0.000658915,0.000658915,0.000658915
1,71.7246,0,414.321,0,0,0,0,0,0,0.00255,0,0.000658915,0.000658915,0.000658915
1,33.6259,0,156.236,0,0,0,0,0,0,1.55108,0,0.000658915,0.000658915,0.000658915
1,32.4687,0,156.236,0,0,0,0,0,0,1.55108,0,0.000658915,0.000658915,0.000658915
1,32.539,0,156.236,0,0,0,0,0,0,1.55108,0,0.000658915,0.000658915,0.000658915
1,32.6129,0,156.236,0,0,0,0,0,0,1.55108,0,0.000658915,0.000658915,0.000658915
1,32.77,0,156.236,0,0,0,0,0,0,1.55108,0,0.000658915,0.000658915,0.000658915
1,48.9505,3.50646,81.6941,1.2795,0.34753,0.40304,0.24279,0.07455,2.62398,2.3051,1.00429,0.000658915,0.000658915,0.000658915
2,88.2628,2.76085,1.94085,0.98333,0.51219,0.41952,0.37287,0.11974,2.57431,2.27879,1.00494,0.00131902,0.00131902,0.00131902
3,127.457,2.63747,1.77448,0.96303,0.57441,0.48289,0.45409,0.14031,2.39062,1.5954,0.95844,0.00197252,0.00197252,0.00197252
4,166.647,2.58653,1.69151,0.95258,0.61478,0.45374,0.44189,0.1406,2.35244,1.35421,0.96935,0.0019703,0.0019703,0.0019703
5,205.597,2.5076,1.56852,0.94793,0.64721,0.4981,0.49904,0.14788,2.32836,1.30935,0.95619,0.0019604,0.0019604,0.0019604
6,244.873,2.47382,1.55069,0.94544,0.61809,0.5005,0.50984,0.15875,2.30105,1.44798,0.95471,0.0019505,0.0019505,0.0019505
7,283.973,2.4123,1.4993,0.93634,0.63602,0.52932,0.51046,0.15724,2.31212,1.28687,0.97132,0.0019406,0.0019406,0.0019406
8,323.207,2.41351,1.47229,0.92936,0.64466,0.52471,0.53588,0.17108,2.32008,1.35962,0.97378,0.0019307,0.0019307,0.0019307
9,362.322,2.36156,1.42598,0.92481,0.59367,0.52598,0.45875,0.15581,2.32739,1.50009,0.95964,0.0019208,0.0019208,0.0019208
10,401.218,2.34328,1.37719,0.9284,0.72196,0.55133,0.58128,0.21181,2.22887,1.26064,0.95553,0.0019109,0.0019109,0.0019109
11,440.483,2.29359,1.35154,0.91278,0.65808,0.53992,0.54206,0.19711,2.21455,1.23648,0.95554,0.001901,0.001901,0.001901
12,479.612,2.31065,1.38544,0.91384,0.69239,0.50824,0.53906,0.19101,2.17002,1.20864,0.94221,0.0018911,0.0018911,0.0018911
13,518.692,2.27307,1.3486,0.915,0.67628,0.53992,0.56824,0.19827,2.11792,1.19236,0.94055,0.0018812,0.0018812,0.0018812
14,557.869,2.28822,1.33217,0.91328,0.65734,0.55894,0.57036,0.20713,2.24495,1.16278,0.95196,0.0018713,0.0018713,0.0018713
15,597.14,2.28305,1.34611,0.91279,0.72971,0.55387,0.60303,0.22602,2.08699,1.20752,0.93011,0.0018614,0.0018614,0.0018614
16,636.067,2.19689,1.27534,0.91003,0.70127,0.53556,0.56643,0.21571,2.10597,1.19735,0.94056,0.0018515,0.0018515,0.0018515
17,675.069,2.28765,1.31598,0.91089,0.67794,0.56907,0.58343,0.21303,2.15452,1.16027,0.92591,0.0018416,0.0018416,0.0018416
18,714.181,2.1899,1.28166,0.90056,0.70967,0.59173,0.6242,0.228,2.09236,1.13773,0.9268,0.0018317,0.0018317,0.0018317
19,753.162,2.21458,1.2884,0.90084,0.68464,0.55387,0.61133,0.22259,2.14238,1.14949,0.92473,0.0018218,0.0018218,0.0018218
20,792.196,2.20608,1.25109,0.9108,0.701,0.53612,0.5935,0.23417,2.07346,1.10507,0.93393,0.0018119,0.0018119,0.0018119
21,831.291,2.2033,1.27376,0.90722,0.75379,0.6109,0.6615,0.24873,1.97422,1.05301,0.9144,0.001802,0.001802,0.001802
22,870.398,2.18,1.25027,0.89829,0.73229,0.59979,0.64484,0.24102,2.07063,1.13844,0.93447,0.0017921,0.0017921,0.0017921
23,909.431,2.21833,1.27168,0.89458,0.72292,0.58682,0.62386,0.23203,2.10912,1.17064,0.92386,0.0017822,0.0017822,0.0017822
24,948.39,2.19736,1.25846,0.8965,0.71665,0.58935,0.63387,0.24661,2.08932,1.09975,0.92932,0.0017723,0.0017723,0.0017723
25,987.367,2.12198,1.2131,0.89588,0.75457,0.58449,0.63679,0.24332,2.06413,1.15147,0.9297,0.0017624,0.0017624,0.0017624
26,1026.2,2.17607,1.26412,0.89774,0.68777,0.59823,0.62514,0.23492,2.06113,1.12778,0.93755,0.0017525,0.0017525,0.0017525
27,1065.28,2.15341,1.24143,0.89493,0.75545,0.6071,0.67204,0.26877,1.95229,1.0707,0.91187,0.0017426,0.0017426,0.0017426
28,1104.28,2.14478,1.20547,0.88978,0.71764,0.59189,0.6405,0.25798,2.02492,1.09409,0.92319,0.0017327,0.0017327,0.0017327
29,1143.38,2.12584,1.21149,0.89556,0.75023,0.60151,0.63921,0.2464,2.03202,1.05919,0.92135,0.0017228,0.0017228,0.0017228
30,1182.42,2.14981,1.20392,0.89017,0.7213,0.57795,0.60167,0.23281,2.04837,1.04879,0.93107,0.0017129,0.0017129,0.0017129
31,1221.52,2.17401,1.23239,0.89762,0.73522,0.58302,0.63155,0.22752,2.1043,1.09292,0.92549,0.001703,0.001703,0.001703
32,1260.48,2.14878,1.21667,0.89469,0.68954,0.59949,0.6446,0.25575,2.05452,1.10629,0.91533,0.0016931,0.0016931,0.0016931
33,1299.55,2.11999,1.2051,0.88916,0.73012,0.63091,0.66417,0.26082,2.00053,1.02874,0.91298,0.0016832,0.0016832,0.0016832
34,1338.64,2.11115,1.17516,0.89472,0.76673,0.61977,0.66889,0.26488,2.01563,1.02228,0.91489,0.0016733,0.0016733,0.0016733
35,1377.68,2.13192,1.18902,0.88615,0.73799,0.62864,0.66632,0.26223,1.99255,1.01685,0.91285,0.0016634,0.0016634,0.0016634
36,1416.79,2.0974,1.15987,0.88666,0.7439,0.6109,0.66405,0.26323,2.0667,1.02311,0.91375,0.0016535,0.0016535,0.0016535
37,1455.87,2.06046,1.14186,0.8904,0.76945,0.63498,0.69139,0.27157,1.98017,0.98716,0.91634,0.0016436,0.0016436,0.0016436
38,1494.81,2.04839,1.11656,0.88162,0.73219,0.62611,0.66256,0.26112,1.98968,1.00119,0.91283,0.0016337,0.0016337,0.0016337
39,1533.79,2.08788,1.13168,0.8932,0.77665,0.62357,0.67529,0.27108,1.95225,1.01365,0.91752,0.0016238,0.0016238,0.0016238
40,1572.94,2.07753,1.13398,0.88537,0.72467,0.63245,0.67188,0.27337,1.93825,1.00815,0.909,0.0016139,0.0016139,0.0016139
41,1611.88,2.04519,1.103,0.88921,0.72573,0.62357,0.65564,0.27306,1.9511,1.0165,0.90483,0.001604,0.001604,0.001604
42,1650.91,2.05238,1.13135,0.88473,0.75315,0.63118,0.67547,0.27126,1.93768,1.01538,0.91563,0.0015941,0.0015941,0.0015941
43,1690.06,2.10714,1.16554,0.88798,0.79088,0.6185,0.69207,0.27903,1.9411,1.02412,0.90568,0.0015842,0.0015842,0.0015842
44,1729.58,2.0956,1.15463,0.88612,0.75745,0.63752,0.69436,0.28196,1.90819,1.00959,0.90945,0.0015743,0.0015743,0.0015743
45,1768.9,2.03763,1.1162,0.88063,0.78049,0.6616,0.69821,0.28329,1.95969,0.98288,0.90844,0.0015644,0.0015644,0.0015644
46,1808.27,2.06815,1.13414,0.88196,0.74796,0.62484,0.6687,0.25796,2.01863,1.00209,0.91474,0.0015545,0.0015545,0.0015545
47,1847.75,2.00806,1.12023,0.8738,0.78476,0.59612,0.66901,0.26807,1.95223,1.02537,0.90962,0.0015446,0.0015446,0.0015446
48,1887.14,2.06943,1.13951,0.88793,0.77533,0.62611,0.68999,0.28096,1.96034,1.01227,0.90754,0.0015347,0.0015347,0.0015347
49,1926.7,2.02958,1.10817,0.88253,0.77699,0.61217,0.64617,0.26488,1.96289,1.02259,0.90915,0.0015248,0.0015248,0.0015248
50,1966.14,2.02946,1.11462,0.87272,0.78708,0.62611,0.69251,0.27749,1.93917,0.97454,0.90541,0.0015149,0.0015149,0.0015149
51,2005.67,2.02448,1.11576,0.88046,0.75525,0.64922,0.69876,0.27997,1.93237,0.96888,0.90263,0.001505,0.001505,0.001505
52,2045.09,2.01054,1.0947,0.87863,0.77399,0.62357,0.69315,0.28655,1.92324,0.96162,0.90741,0.0014951,0.0014951,0.0014951
53,2084.46,2.02505,1.10166,0.87455,0.74097,0.61597,0.67046,0.26928,1.97793,0.98429,0.90742,0.0014852,0.0014852,0.0014852
54,2123.99,2.0408,1.10668,0.87261,0.77899,0.65272,0.69727,0.27877,1.96266,0.96768,0.90552,0.0014753,0.0014753,0.0014753
55,2163.34,2.02636,1.10566,0.87894,0.78255,0.65272,0.70621,0.27757,1.95451,0.98199,0.91462,0.0014654,0.0014654,0.0014654
56,2202.76,2.00914,1.09978,0.87345,0.76601,0.64512,0.67968,0.27796,1.953,0.991,0.91545,0.0014555,0.0014555,0.0014555
57,2242.22,2.04119,1.09874,0.87276,0.77743,0.63625,0.7101,0.28854,1.9279,0.95305,0.90257,0.0014456,0.0014456,0.0014456
58,2281.57,2.01035,1.07647,0.87863,0.81773,0.64132,0.71846,0.29831,1.95478,0.95871,0.90364,0.0014357,0.0014357,0.0014357
