epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.585,2.64969,32.7707,1.36471,0.44148,0.35677,0.24939,0.12703,1.70311,14.2073,1.05026,0.0004,0.0004,0.0004
2,38.6612,1.92844,3.78488,1.04556,0.01698,0.30973,0.00961,0.00387,2.24769,50.5591,1.26693,0.000811882,0.000811882,0.000811882
3,62.0217,2.02314,2.00114,1.13098,0.13518,0.63772,0.12348,0.04826,1.95773,42.22,1.1926,0.00121545,0.00121545,0.00121545
4,82.3758,2.01886,1.66175,1.12103,0.29466,0.09735,0.06161,0.02738,2.44996,3.59559,1.738,0.0016107,0.0016107,0.0016107
5,106.08,2.00984,1.54452,1.19877,0.00231,0.02655,0.00019,6e-05,3.94394,74.638,3.84766,0.0019208,0.0019208,0.0019208
6,125.027,1.86293,1.54995,1.18192,0.57971,0.20354,0.2076,0.08185,2.8287,32.0527,2.39497,0.001901,0.001901,0.001901
7,144.393,1.90533,1.28508,1.1426,0.50633,0.27434,0.2614,0.10374,2.5988,9.3796,2.07093,0.0018812,0.0018812,0.0018812
8,165.944,1.76294,1.18836,1.10888,0.53917,0.46595,0.47485,0.21769,1.92658,1.45656,1.22384,0.0018614,0.0018614,0.0018614
9,186.4,1.66374,1.1915,1.06243,0.44573,0.58407,0.52307,0.25009,1.83752,1.32034,1.15176,0.0018416,0.0018416,0.0018416
10,205.603,1.68569,1.1273,1.06843,0.57432,0.71681,0.6799,0.33519,1.63238,1.06241,1.05768,0.0018218,0.0018218,0.0018218
11,228.717,1.6811,1.16125,1.0723,0.73569,0.52212,0.61712,0.27287,1.90121,1.44145,1.12382,0.001802,0.001802,0.001802
12,247.021,1.62992,1.0214,1.01187,0.51077,0.45133,0.4845,0.24412,1.92324,2.49929,1.20351,0.0017822,0.0017822,0.0017822
13,269.251,1.72502,1.08312,1.03223,0.64918,0.53097,0.55923,0.27702,1.69739,1.3803,1.10088,0.0017624,0.0017624,0.0017624
14,288.885,1.70705,1.04072,1.02529,0.58598,0.739,0.72171,0.34811,1.71703,1.01734,1.02251,0.0017426,0.0017426,0.0017426
15,311.785,1.70377,1.05809,1.07584,0.67611,0.69912,0.7921,0.41636,1.60077,0.95693,1.01214,0.0017228,0.0017228,0.0017228
16,330.306,1.5945,1.06111,0.99238,0.69638,0.71681,0.74363,0.37258,1.60514,1.03566,1.02198,0.001703,0.001703,0.001703
17,352.209,1.67619,1.13096,0.98665,0.78064,0.73451,0.82222,0.43728,1.43569,0.90436,0.96679,0.0016832,0.0016832,0.0016832
18,372.06,1.53144,0.99866,0.9682,0.68492,0.72566,0.81755,0.46238,1.41609,0.87485,0.94619,0.0016634,0.0016634,0.0016634
19,393.982,1.36966,0.92357,0.92346,0.70848,0.81729,0.83897,0.48343,1.35348,0.8481,0.98085,0.0016436,0.0016436,0.0016436
20,413.485,1.4953,0.97114,0.96975,0.69926,0.75221,0.79975,0.45076,1.50733,0.9151,0.98228,0.0016238,0.0016238,0.0016238
21,434.507,1.47069,0.90916,0.96268,0.76259,0.7391,0.83806,0.46083,1.48309,0.88289,0.97049,0.001604,0.001604,0.001604
22,453.689,1.42001,0.96197,0.94537,0.81385,0.63717,0.78703,0.42414,1.61555,1.05745,0.9884,0.0015842,0.0015842,0.0015842
23,476.203,1.41706,0.89509,0.94442,0.55037,0.82301,0.74589,0.37955,1.69297,1.05194,0.94468,0.0015644,0.0015644,0.0015644
24,494.978,1.47104,0.90288,0.94692,0.75907,0.72566,0.81899,0.46753,1.42779,0.84153,0.92277,0.0015446,0.0015446,0.0015446
25,516.969,1.4191,0.87678,0.92861,0.81957,0.79646,0.8868,0.5252,1.28906,0.76952,0.91366,0.0015248,0.0015248,0.0015248
26,535.905,1.33818,0.86432,0.92173,0.81593,0.71681,0.8476,0.48203,1.38872,0.79143,0.9215,0.001505,0.001505,0.001505
27,558.095,1.39921,0.87608,0.935,0.666,0.81416,0.81343,0.44503,1.49092,0.87318,0.93544,0.0014852,0.0014852,0.0014852
28,577.294,1.32981,0.85794,0.91555,0.82163,0.77455,0.87014,0.50364,1.37419,0.79798,0.90715,0.0014654,0.0014654,0.0014654
29,600.031,1.43875,0.84336,0.92822,0.73609,0.84956,0.85597,0.48508,1.49365,0.80227,0.92966,0.0014456,0.0014456,0.0014456
30,620.911,1.40259,0.85118,0.91756,0.72745,0.80531,0.84494,0.48121,1.48308,0.78549,0.93642,0.0014258,0.0014258,0.0014258
31,639.71,1.35061,0.8877,0.94712,0.80797,0.84956,0.89103,0.54291,1.28501,0.78008,0.92643,0.001406,0.001406,0.001406
32,663.769,1.27405,0.84633,0.89731,0.81615,0.82499,0.90504,0.5378,1.31647,0.71218,0.91145,0.0013862,0.0013862,0.0013862
33,682.144,1.34568,0.85132,0.92699,0.77003,0.77044,0.82989,0.47884,1.37076,0.87378,0.91005,0.0013664,0.0013664,0.0013664
34,704.814,1.36936,0.87872,0.91502,0.74654,0.80531,0.85413,0.44569,1.41189,0.8147,0.91906,0.0013466,0.0013466,0.0013466
35,723.619,1.31711,0.86155,0.91724,0.8027,0.81416,0.8606,0.5324,1.20956,0.77958,0.89924,0.0013268,0.0013268,0.0013268
36,745.289,1.27026,0.85166,0.89917,0.8763,0.81496,0.90802,0.5154,1.35936,0.79044,0.90144,0.001307,0.001307,0.001307
37,765.257,1.24911,0.82053,0.88832,0.76032,0.88496,0.89588,0.54449,1.22555,0.7433,0.89639,0.0012872,0.0012872,0.0012872
38,787.94,1.28442,0.76759,0.89582,0.84426,0.84071,0.90654,0.57709,1.22014,0.72851,0.89871,0.0012674,0.0012674,0.0012674
39,806.728,1.34758,0.79703,0.90482,0.78602,0.84522,0.86139,0.51144,1.29453,0.75136,0.89457,0.0012476,0.0012476,0.0012476
40,827.888,1.11768,0.72316,0.8342,0.83805,0.83186,0.8659,0.52455,1.2582,0.72019,0.88839,0.0012278,0.0012278,0.0012278
41,848.13,1.23848,0.74829,0.88367,0.83308,0.88337,0.9037,0.54572,1.21616,0.67965,0.88212,0.001208,0.001208,0.001208
42,870.429,1.31821,0.79259,0.87447,0.78637,0.87953,0.88339,0.544,1.24532,0.6967,0.89979,0.0011882,0.0011882,0.0011882
